id,kalimat,has_idiom,idiom_text,emotion,idiom_meaning,annotator_1,annotator_2,annotator_3
219,Mahasiswa tersebut murah hati membagikan ilmunya.,1.0,murah hati,senang,suka memberi dengan tulus,senang,senang,senang
220,Anak itu ringan tulang membantu orang tua di sawah.,1.0,ringan tulang,senang,rajin bekerja,senang,senang,percaya
221,Pemimpin itu rendah hati meskipun kaya raya.,1.0,rendah hati,senang,tidak sombong,senang,senang,senang
222,Penjual itu panjang tangan mengambil barang milik orang.,1.0,panjang tangan,senang,suka mencuri,senang,senang,senang
223,Adikku besar kepala setelah menjadi juara kelas.,1.0,besar kepala,senang,sombong,senang,senang,senang
224,Dia keras kepala sehingga sulit dinasihati.,1.0,keras kepala,senang,tidak mau mendengarkan nasihat,senang,senang,senang
225,Kakakku hati lega setelah semua urusan selesai.,1.0,hati lega,senang,merasa lega,senang,percaya,senang
226,Perasaanku setinggi langit saat diterima di perusahaan impian.,1.0,setinggi langit,senang,sangat bahagia,senang,senang,senang
227,Kariernya di puncak gunung setelah promosi besar-besaran.,1.0,di puncak gunung,senang,berada di posisi terbaik,senang,senang,senang
228,Semangatnya terbang tinggi setelah mendapat pujian.,1.0,terbang tinggi,senang,sangat bersemangat,senang,senang,senang
229,Hatinya melayang-layang mendengar kabar kelulusannya.,1.0,melayang-layang,senang,sangat bahagia,senang,senang,senang
230,Rezekinya segelintir air setelah usaha rintisannya sukses.,1.0,segelintir air,senang,mendapat banyak rezeki,senang,senang,senang
231,Akhirnya dia berjumpa jodoh setelah sekian lama sendiri.,1.0,berjumpa jodoh,senang,bertemu pasangan hidup,senang,senang,terkejut
232,Petani itu mendapat durian runtuh setelah panen raya.,1.0,durian runtuh,senang,mendapat keuntungan besar,senang,senang,senang
233,Investornya mendapat untung besar dari proyek tersebut.,1.0,untung besar,senang,mendapat keuntungan melimpah,senang,senang,senang
234,Dia beruntung sekali bisa selamat dari kecelakaan itu.,1.0,beruntung sekali,senang,sangat beruntung,senang,senang,senang
235,Presiden tersenyum lebar menyambut tamu negara.,1.0,tersenyum lebar,senang,tersenyum karena bahagia,senang,senang,senang
236,Mentor saya berbesar hati ketika muridnya meraih medali emas.,1.0,berbesar hati,senang,merasa bangga dan senang,senang,senang,senang
237,Para suporter girang bukan kepalang setelah timnas menang.,1.0,girang bukan kepalang,senang,sangat gembira,senang,senang,senang
238,Penonton bertepuk tangan meriah usai pertunjukan musik klasik.,1.0,bertepuk tangan,senang,menunjukkan kegembiraan,senang,senang,senang
239,Nenek senyum mengembang ketika cucu pertamanya lahir.,1.0,senyum mengembang,senang,tersenyum lebar karena senang,senang,senang,senang
240,Pelatih merasa sumringah setelah timnya lolos ke final.,1.0,sumringah,senang,wajah berseri-seri karena senang,senang,senang,senang
241,Polisi itu ringan tangan membantu warga yang kesusahan.,1.0,ringan tangan,senang,suka membantu dengan senang hati,senang,senang,percaya
242,Desainer itu naik daun setelah koleksinya dipuji kritikus.,1.0,naik daun,senang,sedang populer atau terkenal,senang,senang,senang
243,Para relawan hati berbunga melihat senyum anak-anak panti.,1.0,hati berbunga,senang,perasaan sangat bahagia,senang,senang,senang
244,Penulis cilik itu panen pujian setelah bukunya menjadi best seller.,1.0,panen pujian,senang,mendapat banyak pujian,senang,percaya,senang
245,Kepala desa besar hati ketika warganya hidup rukun.,1.0,besar hati,senang,merasa bangga dan bahagia,senang,senang,senang
246,Ibu itu kebanjiran rezeki setelah dagangannya laris manis.,1.0,kebanjiran rezeki,senang,mendapat banyak keberuntungan,senang,senang,percaya
247,Pengusaha muda mendapat angin segar setelah investasi berhasil.,1.0,angin segar,senang,mendapat kabar baik,senang,senang,senang
248,Keluarga itu ceria sepanjang hari saat merayakan lebaran.,1.0,ceria sepanjang hari,senang,bahagia sepanjang waktu,senang,senang,senang
249,Atlet itu melompat kegirangan setelah memecahkan rekor dunia.,1.0,melompat kegirangan,senang,sangat senang,senang,percaya,senang
250,Para pekerja senang bukan main saat gaji naik.,1.0,senang bukan main,senang,sangat bahagia,senang,senang,senang
251,Pengantin baru berbunga-bunga saat menerima ucapan selamat.,1.0,berbunga-bunga,senang,merasa sangat bahagia,senang,senang,senang
252,Para lansia suka cita ketika dikunjungi keluarganya.,1.0,suka cita,senang,kebahagiaan mendalam,senang,senang,senang
253,Masyarakat berbahagia setelah listrik kembali menyala.,1.0,berbahagia,senang,merasakan kebahagiaan,senang,senang,senang
254,Ibu berseri-seri melihat anaknya wisuda cum laude.,1.0,berseri-seri,senang,tampak sangat bahagia,senang,senang,senang
255,Anak-anak tertawa lepas bermain di taman hiburan.,1.0,tertawa lepas,senang,tertawa dengan sangat bahagia,senang,senang,senang
256,Jamaah haji penuh sukacita saat tiba di tanah suci.,1.0,sukacita,senang,dipenuhi kebahagiaan,senang,senang,senang
257,Orang tua itu lapang dada menerima keputusan anaknya.,1.0,lapang dada,senang,menerima dengan ikhlas dan bahagia,senang,senang,senang
258,Para siswa riang gembira saat liburan sekolah tiba.,1.0,riang gembira,senang,sangat ceria dan bahagia,senang,senang,senang
259,Pengungsi hati lapang setelah mendapat bantuan kemanusiaan.,1.0,hati lapang,senang,perasaan lega dan bahagia,senang,senang,senang
260,Dokter itu bahagia luar biasa karena operasinya sukses.,1.0,bahagia luar biasa,senang,sangat bahagia,senang,senang,senang
261,Keluarga korban bahagia tak terkira setelah ditemukan selamat.,1.0,bahagia tak terkira,senang,sangat bahagia,senang,terkejut,senang
262,Wajah para petani cerah ketika panen raya tiba.,1.0,wajah cerah,senang,tampak bahagia,senang,senang,senang
263,Pasangan itu senyum sumringah di hari pernikahan mereka.,1.0,sumringah,senang,tersenyum bahagia,senang,senang,senang
264,Start up itu bagai mendapat lotre setelah akuisisi besar.,1.0,mendapat lotre,senang,sangat beruntung,senang,senang,senang
265,Petani miskin itu bagai bulan jatuh ke riba setelah panen melimpah.,1.0,bulan jatuh ke riba,senang,mendapat keberuntungan besar,senang,senang,senang
266,Perasaanku bagai di awan saat diterima beasiswa luar negeri.,1.0,bagai di awan,senang,sangat bahagia,senang,senang,senang
267,Perasaannya terbang ke awan ketika lamarannya diterima.,1.0,terbang ke awan,senang,sangat bahagia,senang,senang,senang
268,Ibu gembira hati melihat anaknya tumbuh sehat.,1.0,gembira hati,senang,senang,senang,senang,senang
269,Ayah girang hati karena anaknya lulus dengan nilai sempurna.,1.0,girang hati,senang,sangat senang,senang,senang,percaya
270,Keluarga itu hidup bahagia dalam kesederhanaan.,1.0,hidup bahagia,senang,keadaan bahagia,senang,senang,senang
271,Anak yatim piatu penuh kegembiraan saat menerima bantuan.,1.0,penuh kegembiraan,senang,sangat bahagia,senang,senang,senang
272,Para relawan semangat membara membantu korban bencana.,1.0,semangat membara,senang,penuh semangat,senang,senang,senang
273,Petani itu tenang hati meskipun panennya tidak terlalu banyak.,1.0,tenang hati,senang,tenang dan bahagia,senang,senang,senang
274,Para pemuda penuh harapan menyambut tahun baru.,1.0,penuh harapan,senang,optimis,senang,senang,senang
275,Hati para penggemar riang ketika idolanya tampil.,1.0,hati riang,senang,bahagia,senang,senang,senang
276,Para orang tua hati senang melihat anaknya sukses.,1.0,hati senang,senang,bahagia,senang,senang,senang
277,Aku lega hati setelah semua masalah terselesaikan.,1.0,lega hati,senang,perasaan lega,senang,senang,senang
278,Penuh rasa syukur aku panjatkan atas karunia ini.,1.0,rasa syukur,senang,bahagia,senang,senang,senang
279,Kedatangannya seperti mendapat hadiah di hari ulang tahunku.,1.0,seperti mendapat hadiah,senang,sangat senang,senang,senang,senang
280,Bagai mendapat durian runtuh rasanya ketika lulus ujian.,1.0,mendapat durian runtuh,senang,mendapat keberuntungan,senang,senang,senang
281,Rasanya bagai mimpi di siang hari saat namaku diumumkan.,1.0,mimpi di siang hari,senang,tidak menyangka kebahagiaan,senang,senang,senang
282,Ia terharu bahagia ketika anaknya memeluknya erat.,1.0,terharu bahagia,senang,bahagia dan terharu,senang,senang,senang
283,Anak-anak bersuka ria bermain di taman kota.,1.0,bersuka ria,senang,bergembira,senang,senang,senang
284,Dia senang hati karena semua rencananya berjalan mulus.,1.0,senang hati,senang,bahagia,senang,senang,senang
285,Si bungsu adalah buah hati keluarga kami.,1.0,buah hati,senang,anak kesayangan,senang,senang,senang
286,Mereka gembira ria menyambut kelahiran cucu pertama.,1.0,gembira ria,senang,sangat gembira,senang,senang,senang
287,Tim kami riang hati setelah proyek selesai tepat waktu.,1.0,riang hati,senang,perasaan gembira,senang,senang,senang
288,Aku suka hati ketika semua undangan hadir di pestaku.,1.0,suka hati,senang,senang,senang,senang,senang
289,Dia puas hati karena ulang tahunnya dirayakan meriah.,1.0,puas hati,senang,merasa puas dan bahagia,senang,senang,senang
290,Para orang tua lega rasanya saat anaknya berprestasi.,1.0,lega rasanya,senang,merasa lega,senang,senang,senang
291,Aku plong rasanya dengan hasil kerja tim hari ini.,1.0,plong rasanya,senang,merasa lega,senang,senang,senang
292,Anak itu senyum lebar saat menerima hadiah dari ayahnya.,1.0,senyum lebar,senang,tersenyum bahagia,senang,senang,senang
293,Gadis itu tersipu malu ketika dipuji kecantikannya.,1.0,tersipu malu,senang,tersenyum karena senang dan malu,senang,senang,senang
294,Para ilmuwan berdecak kagum atas penemuan terbaru.,1.0,berdecak kagum,senang,merasa kagum,senang,senang,senang
295,Penonton bersorak sorai ketika tim favorit mencetak gol.,1.0,bersorak sorai,senang,bersorak gembira,senang,senang,senang
296,Anak-anak berjingkrak-jingkrak saat dibawa ke kebun binatang.,1.0,berjingkrak-jingkrak,senang,melompat kegirangan,senang,senang,senang
297,Para pendukung melompat-lompat gembira timnya menang.,1.0,melompat-lompat gembira,senang,sangat senang,senang,senang,senang
298,Penonton berteriak kegirangan saat idola naik panggung.,1.0,berteriak kegirangan,senang,berteriak karena senang,senang,senang,senang
299,Anak-anak menari-nari bahagia menyambut hujan pertama.,1.0,menari-nari bahagia,senang,menari karena bahagia,senang,senang,senang
300,Para penggemar bersorak gembira ketika konser dimulai.,1.0,bersorak gembira,senang,bersorak karena gembira,senang,senang,senang
301,Mereka bertepuk sorak merayakan keberhasilan bersama.,1.0,bertepuk sorak,senang,bertepuk tangan sambil bersorak,senang,senang,senang
302,Perasaanku merasa di atas awan saat dipromosikan.,1.0,di atas awan,senang,sangat bahagia,senang,senang,senang
303,Hari ini aku merasa di puncak kebahagiaan.,1.0,puncak kebahagiaan,senang,sangat bahagia,senang,senang,senang
304,Aku merasa tak terkira bahagianya setelah menikah.,1.0,tak terkira bahagianya,senang,sangat bahagia,senang,senang,senang
305,Dia merasa senang hati saat dikelilingi keluarga.,1.0,merasa senang hati,senang,merasa bahagia,senang,senang,senang
306,Anak itu merasa bahagia hati mendapat mainan baru.,1.0,bahagia hati,senang,merasa bahagia,senang,senang,senang
307,Kami merasa gembira hati bisa berkumpul bersama.,1.0,gembira hati,senang,merasa gembira,senang,senang,senang
308,Ia berseri-seri bahagia ketika namanya dipanggil.,1.0,berseri-seri,senang,tampak sangat bahagia,senang,senang,senang
309,Kami girang ria menyambut bulan suci.,1.0,girang ria,senang,sangat gembira,senang,senang,senang
310,Mereka suka ria selamat dari musibah.,1.0,suka ria,senang,penuh kegembiraan,senang,senang,senang
311,Tim kami bahagia selamanya dengan hasil kerja keras.,1.0,bahagia selamanya,senang,bahagia sepanjang masa,senang,senang,senang
312,Sahabatku senang selamanya setelah operasi berhasil.,1.0,senang selamanya,senang,senang terus-menerus,senang,senang,senang
313,Temanku gembira selamanya setelah semua berkas selesai.,1.0,gembira selamanya,senang,gembira terus-menerus,senang,senang,senang
314,Kakaknya merasa puas hati bisa membantu sesama.,1.0,merasa puas hati,senang,merasa puas dan bahagia,senang,senang,senang
315,Adikku merasa lega hati saat liburan tiba.,1.0,merasa lega hati,senang,merasa lega dan bahagia,senang,senang,senang
316,Keluarganya bahagia tiada tara mendapat kabar baik.,1.0,bahagia tiada tara,senang,kebahagiaan tertinggi,senang,senang,senang
317,Guru itu senang tiada tara mendapat kejutan manis.,1.0,senang tiada tara,senang,kesenangan tertinggi,senang,senang,senang
318,Mahasiswa tersebut gembira tiada tara saat harga gabah naik.,1.0,gembira tiada tara,senang,kegembiraan tertinggi,senang,senang,senang
319,Anak itu girang tiada tara menyaksikan final piala dunia.,1.0,girang tiada tara,senang,kegirangan tertinggi,senang,senang,senang
320,Aku suka cita tiada tara memberi apresiasi kepada seniman.,1.0,suka cita tiada tara,senang,kebahagiaan tertinggi,senang,senang,senang
321,Dia tertawa bahagia membaca surat dari kekasih.,1.0,tertawa bahagia,senang,tertawa karena bahagia,senang,senang,senang
322,Kami tersenyum bahagia setelah kabar baik itu.,1.0,tersenyum bahagia,senang,tersenyum karena bahagia,senang,senang,senang
323,Mereka melompat senang membimbing muridnya.,1.0,melompat senang,senang,melompat karena senang,senang,senang,senang
324,Tim kami berjingkrak senang setelah inovasinya diakui dunia.,1.0,berjingkrak senang,senang,melompat kecil karena senang,senang,senang,senang
325,Sahabatku bersorak senang melihat keindahan alam ini.,1.0,bersorak senang,senang,bersorak karena senang,senang,senang,senang
326,Temanku bertepuk senang atas karyanya yang inspiratif.,1.0,bertepuk senang,senang,bertepuk tangan karena senang,senang,senang,senang
327,Kakaknya menari senang melihat rakyatnya sejahtera.,1.0,menari senang,senang,menari karena senang,senang,senang,senang
328,Adikku hati gembira setelah usaha rintisan sukses.,1.0,hati gembira,senang,perasaan gembira,senang,senang,senang
329,Keluarganya hati girang setelah investor asing masuk.,1.0,hati girang,senang,perasaan girang,senang,senang,senang
330,Guru itu hati puas menjelajahi kota tua.,1.0,hati puas,senang,perasaan puas,senang,senang,senang
331,Mahasiswa tersebut hati tenang saat mendapat tiket konser.,1.0,hati tenang,senang,perasaan tenang,senang,senang,senang
332,Anak itu hati nyaman saat libur panjang tiba.,1.0,hati nyaman,senang,perasaan nyaman,senang,senang,senang
333,Aku murah hati menerima penghargaan prestisius.,1.0,murah hati,senang,suka memberi dengan tulus,senang,senang,senang
334,Dia ringan tulang merayakan hari kemerdekaan.,1.0,ringan tulang,senang,rajin bekerja,senang,senang,senang
335,Kami rendah hati setelah program vaksinasi sukses.,1.0,rendah hati,senang,tidak sombong,senang,senang,senang
336,Mereka panjang tangan memandangi pemandangan matahari terbit.,1.0,panjang tangan,senang,suka mencuri,senang,senang,senang
337,Tim kami besar kepala menonton film komedi.,1.0,besar kepala,senang,sombong,senang,senang,senang
338,Sahabatku keras kepala acara pernikahan itu.,1.0,keras kepala,senang,tidak mau mendengarkan nasihat,senang,senang,senang
339,Temanku hati lega menerima kritik yang membangun.,1.0,hati lega,senang,merasa lega,senang,senang,senang
340,Kakaknya setinggi langit setelah ujian selesai.,1.0,setinggi langit,senang,sangat bahagia,senang,senang,senang
341,Adikku di puncak gunung setelah memaafkan semua orang.,1.0,di puncak gunung,senang,berada di posisi terbaik,senang,senang,senang
342,Keluarganya terbang tinggi saat bertemu keluarga.,1.0,terbang tinggi,senang,sangat bersemangat,senang,senang,senang
343,Guru itu melayang-layang menyambut anak pulang kampung.,1.0,melayang-layang,senang,sangat bahagia,senang,senang,senang
344,Mahasiswa tersebut segelintir air berfoto bersama keluarga besar.,1.0,segelintir air,senang,mendapat banyak rezeki,senang,senang,senang
345,Anak itu berjumpa jodoh ketika produknya viral.,1.0,berjumpa jodoh,senang,bertemu pasangan hidup,senang,senang,marah
346,Aku mendapat durian runtuh.,1.0,durian runtuh,senang,mendapat keuntungan besar,senang,senang,senang
347,Dia mendapat untung besar ketika cita-cita tercapai.,1.0,untung besar,senang,mendapat keuntungan melimpah,senang,senang,senang
348,Kami beruntung sekali saat dipuji atasan.,1.0,beruntung sekali,senang,sangat beruntung,senang,senang,senang
349,Mereka tersenyum lebar bermain di taman.,1.0,tersenyum lebar,senang,tersenyum karena bahagia,senang,marah,senang
350,Tim kami berbesar hati karena anaknya berhasil.,1.0,berbesar hati,senang,merasa bangga dan senang,senang,senang,senang
351,Sahabatku girang bukan kepalang penuh berkah.,1.0,girang bukan kepalang,senang,sangat gembira,senang,senang,senang
352,Temanku bertepuk tangan terpancar dari wajah anak-anak.,1.0,bertepuk tangan,senang,menunjukkan kegembiraan,senang,senang,senang
353,Kakaknya senyum mengembang membantu sesama.,1.0,senyum mengembang,senang,tersenyum lebar karena senang,senang,senang,senang
354,Adikku merasa sumringah masih diberi kesehatan.,1.0,sumringah,senang,wajah berseri-seri karena senang,senang,senang,senang
355,Keluarganya ringan tangan setelah meditasi.,1.0,ringan tangan,senang,suka membantu dengan senang hati,senang,senang,senang
356,Guru itu naik daun menyambut hari esok yang lebih baik.,1.0,naik daun,senang,sedang populer atau terkenal,senang,senang,senang
357,Mahasiswa tersebut hati berbunga menyambut pagi yang cerah.,1.0,hati berbunga,senang,perasaan sangat bahagia,senang,senang,senang
